1;Colgando en tus manos;Carlos Baute con Marta Sánchez;2009;27;Venezuela;Español;América;Español
2;Despacito;Luis Fonsi y Daddy Yankee;2017;26;Puerto Rico;Español;América;Español
3;You're the One That I Want;John Travolta & Olivia Newton-John;1978/1991;20;Estados Unidos;Inglés;América;Inglés
4;Bailando;Enrique Iglesias con Descemer Bueno y Gente de Zona;2014;20;España;Español;Europa;Español
5;El Perdón;Enrique Iglesias y Nicky Jam;2015;18;España;Español;Europa;Español
6;Sorry;Justin Bieber;2015;17;Canadá;Inglés;América;Inglés
7;Waka Waka(Esto es África);Shakira;2010;17;Colombia;Español;América;Español
8;Tusa;Karol G y Nicki Minaj;2019;16;Colombia Trinidad y Tobago;Inglés;América;Inglés
9;Gimme Hope Jo'anna;Eddy Grant;1988;15;Guyana;Inglés;América;Inglés
10;On the Floor;Jennifer López y Pitbull;2011;15;Estados Unidos;Inglés;América;Inglés
11;Voyage Voyage;Desireless;1987;15;Francia;Francés;Europa;Francés
12;Yo Te Esperaré;Cali y El Dandee;2012;15;Colombia;Español;América;Español
13;Ai Se Eu Te Pego;Michel Teló;2011;14;Brasil;Portugués;América;Portugués
14;Candle in the wind;Elton John;1987;14;Reino Unido;Inglés;Europa;Inglés
15;La Bicicleta;Carlos Vives y Shakira;2016;13;Colombia;Español;América;Español
16;Lambada;Kaoma;1989;13;Brasil;Portugués;América;Portugués
17;Duele El Corazón;Enrique Iglesias y Wisin;2016;12;España;Español;Europa;Español
18;Mambo No. 5;Lou Bega;1999;12;Alemania;Alemán;Europa;Inglés
19;Loca;Shakira;2010;12;Colombia;Español;América;Español
20;Always on My Mind;Pet Shop Boys;1988;11;Reino Unido;Inglés;Europa;Inglés
21;La Gozadera;Gente de Zona y Marc Anthony;2015;11;Cuba;Español;América;Español
22;Infinity;Guru Josh;1990;10;Reino Unido;Inglés;Europa;Inglés
23;Te Voy A Esperar;Juan Magán y Belinda;2012;10;España;Español;Europa;Español
24;The Final Countdown;Europe;1987;10;Suecia;Sueco;Europa;Inglés
