,tema,interprete,año,semanas,pais,idioma,continente,cancion
0,Colgando en tus manos,Carlos Baute con Marta Sánchez,2009,27,"Venezuela Venezuela
",Español,América,Español
1,Despacito,Luis Fonsi y Daddy Yankee,2017,26,"Puerto Rico Puerto Rico
",Español,América,Español
2,"""You're the One That I Want""",John Travolta & Olivia Newton-John,1978/1991,20," Estados Unidos
",Inglés,América,Inglés
3,Bailando,Enrique Iglesias con Descemer Bueno y Gente de Zona,2014,20,"España España
",Español,Europa,Español
4,El Perdón,Enrique Iglesias y Nicky Jam,2015,18,"España España
",Español,Europa,Español
5,Sorry,Justin Bieber,2015,17,"Canadá Canadá
",Inglés,América,Inglés
6,Waka Waka (Esto es África),Shakira,2010,17,"Colombia Colombia
",Español,América,Español
7,Tusa,Karol G y Nicki Minaj,2019,16,"Colombia Colombia Trinidad y Tobago Trinidad y Tobago
",Español,América,Español
8,Gimme Hope Jo'anna,Eddy Grant,1988,15,"Guyana Guyana
",Inglés,América,Inglés
9,On the Floor,Jennifer López y Pitbull,2011,15," Estados Unidos
",Inglés,América,Inglés
10,"Voyage, Voyage",Desireless,1987,15," Francia
",Francés,América,Francés
11,Yo Te Esperaré,Cali y El Dandee,2012,15,"Colombia Colombia
",Español,América,Español
12,Ai Se Eu Te Pego,Michel Teló,2011,14,"Brasil Brasil
",Portugués,América,Portugués
13,Candle in the wind,Elton John,1987,14,"Reino Unido Reino Unido
",Inglés,Europa,Inglés
14,La Bicicleta,Carlos Vives y Shakira,2016,13,"Colombia Colombia
",Español,América,Español
15,Lambada,Kaoma,1989,13,"Brasil Brasil
",Portugués,América,Portugués
16,Duele El Corazón,Enrique Iglesias y Wisin,2016,12,"España España
",Español,Europa,Español
17,Mambo No. 5,Lou Bega,1999,12,"Alemania Alemania
",Alemán,Europa,Inglés
18,Loca,Shakira,2010,12,"Colombia Colombia
",Español,América,Español
19,Always on My Mind,Pet Shop Boys,1988,11,"Reino Unido Reino Unido
",Inglés,Europa,Inglés
20,La Gozadera,Gente de Zona y Marc Anthony,2015,11,"Cuba Cuba
",Español,América,Español
21,Infinity,Guru Josh,1990,10,"Reino Unido Reino Unido
",Inglés,Europa,Inglés
22,Te Voy A Esperar,Juan Magán y Belinda,2012,10,"España España
",Español,Europa,Español
23,The Final Countdown,Europe,1987,10,"Suecia Suecia
",Sueco,Europa,Inglés
