ID;tema;interprete;año;semanas;pais
1;Colgando en tus manos;Carlos Baute con Marta Sánchez;2009;27;Venezuela
2;Despacito;Luis Fonsi y Daddy Yankee;2017;26;Puerto Rico
3;You're the One That I Want;John Travolta & Olivia Newton-John;1978/1991;20;Estados Unidos
4;Bailando;Enrique Iglesias con Descemer Bueno y Gente de Zona;2014;20;España
5;El Perdón;Enrique Iglesias y Nicky Jam;2015;18;España
6;Sorry;Justin Bieber;2015;17;Canadá
7;Waka Waka(Esto es África);Shakira;2010;17;Colombia
8;Tusa;Karol G y Nicki Minaj;2019;16; Colombia, Trinidad y Tobago
9;Gimme Hope Jo'anna;Eddy Grant;1988;15;Guyana
10;On the Floor;Jennifer López y Pitbull;2011;15;Estados Unidos 
11;Voyage Voyage;Desireless;1987;15;Francia
12;Yo Te Esperaré;Cali y El Dandee;2012;15;Colombia
13;Ai Se Eu Te Pego;Michel Teló;2011;14;Brasil
14;Candle in the wind;Elton John;1987;14;Reino Unido
15;La Bicicleta;Carlos Vives y Shakira;2016;13;Colombia 
16;Lambada;Kaoma;1989;13;Brasil
17;Duele El Corazón;Enrique Iglesias y Wisin;2016;12;España
18;Mambo No. 5;Lou Bega;1999;12;Alemania
19;Loca;Shakira;2010;12;Colombia
20;Always on My Mind;Pet Shop Boys;1988;11;Reino Unido
21;La Gozadera;Gente de Zona y Marc Anthony;2015;11;Cuba
22;Infinity;Guru Josh;1990;10;Reino Unido
23;Te Voy A Esperar;Juan Magán y Belinda;2012;10;España
24;The Final Countdown;Europe;1987;10;Suecia

